[2023-06-02 15:45:07,985][inference.model_runners][INFO] - Reading checkpoint from /projects/ml/RF2_allatom/lab_model_weights/aa_diffusion.pt
[2023-06-02 15:45:19,361][inference.model_runners][INFO] - Loading checkpoint.
[2023-06-02 15:45:19,599][diffusion][INFO] - No IGSO3 cache found at ./T_200_omega_1000_min_sigma_0_02_min_b_1_5_max_b_2_5_schedule_linear.pkl.
[2023-06-02 15:45:19,599][diffusion][INFO] - Calculating IGSO3.
[2023-06-02 15:46:34,233][__main__][INFO] - Making design /home/lhtran/class/cheme_577/challenge_4/unrelated/output/des_0
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using contig: ['70-120']
[2023-06-02 15:46:34,298][inference.model_runners][INFO] - Using sampled mask: ['118-118']
[2023-06-02 15:46:39,367][inference.model_runners][INFO] - 15:46:39: Timestep 200, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:40,942][inference.model_runners][INFO] - 15:46:40: Timestep 199, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:42,510][inference.model_runners][INFO] - 15:46:42: Timestep 198, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:44,087][inference.model_runners][INFO] - 15:46:44: Timestep 197, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:45,655][inference.model_runners][INFO] - 15:46:45: Timestep 196, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:47,223][inference.model_runners][INFO] - 15:46:47: Timestep 195, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:48,796][inference.model_runners][INFO] - 15:46:48: Timestep 194, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:50,375][inference.model_runners][INFO] - 15:46:50: Timestep 193, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:51,945][inference.model_runners][INFO] - 15:46:51: Timestep 192, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:53,519][inference.model_runners][INFO] - 15:46:53: Timestep 191, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:55,085][inference.model_runners][INFO] - 15:46:55: Timestep 190, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:56,657][inference.model_runners][INFO] - 15:46:56: Timestep 189, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
[2023-06-02 15:46:58,229][inference.model_runners][INFO] - 15:46:58: Timestep 188, current sequence: ??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????aaaaaaaaaaaaaaa
